date	obs_pre	obs_post
200603	114786	107115
200604	115055	106827
200605	115304	106019
200606	114697	106466
200607	115432	106920
200608	115318	106499
200609	115128	107266
200610	114747	107335
200611	114980	107601
200612	114552	104249
200701	114444	105527
200702	114311	105499
200703	114529	107450
200704	115194	108179
200705	116059	107732
200706	114841	106951
200707	114555	105940
200708	113748	105763
200709	113902	106226
200710	113197	106238
200711	113909	106934
200712	113439	106358
200801	114576	107132
200802	113661	106076
200803	113564	106864
200804	114128	106759
200805	115034	107395
200806	114024	106465
200807	114161	105894
200808	113579	105607
200809	113450	105531
200810	112853	105591
200811	113365	105828
200812	111790	104434
200901	114272	107240
200902	113922	106701
200903	114826	108077
200904	114886	108137
200905	115434	108292
200906	114081	106299
200907	114705	106851
200908	114367	106548
200909	114369	106607
200910	113488	106570
200911	114988	108103
200912	114117	106615
201001	114890	108235
201002	114711	107148
201003	115230	108113
201004	115610	108162
201005	116017	107969
201006	114837	106387
201007	115840	107526
201008	114971	106614
201009	114512	106738
201010	113782	106274
201011	114688	107339
201012	114301	103100
201101	114145	106761
201102	113067	105184
201103	113088	106032
201104	113709	106915
201105	114855	106178
201106	113954	105585
201107	114741	106721
